TagID,Power,Antenna,TripDate,Distance
2019 164.480 110,83,Yagi,1/7/2020,232.2186379
2019 164.480 110,63,Yagi,2/18/2020,213.6264119
2019 164.480 110,51,Yagi,2/25/2020,216.25503
2019 164.480 110,64,Yagi,3/3/2020,240.62268
2019 164.480 110,69,Yagi,6/4/2020,216.2375238
2019 164.480 110,45,Yagi,6/8/2020,216.5364383
2019 164.480 110,67,Yagi,6/12/2020,214.3843496
2019 164.480 110,41,Yagi,6/18/2020,218.6352945
2019 164.480 118,200,Yagi,7/6/2020,0
2019 164.480 115,46,Yagi,3/3/2020,317.778097
2019 164.480 115,35,Yagi,3/10/2020,315.8433399
2019 164.480 115,40,Yagi,6/12/2020,260.805906
2019 164.480 115,52,Yagi,6/15/2020,92.53303936
2019 164.480 115,52,Yagi,6/18/2020,93.88524605
2019 164.480 115,47,Yagi,6/22/2020,260.9473504
2019 164.480 115,28,Yagi,6/24/2020,288.9047905
2019 164.480 115,24,Yagi,6/29/2020,309.9257705
2019 164.480 109,123,Yagi,11/6/2019,40.54609752
2019 164.480 109,15,Yagi,11/14/2019,1141.489247
2019 164.480 109,37,Yagi,11/15/2019,464.4086563
2019 164.480 109,73,Yagi,11/18/2019,130.4284819
2019 164.480 109,45,Yagi,11/20/2019,401.7544474
2019 164.480 109,50,Yagi,11/21/2019,317.6102112
2019 164.480 109,72,Yagi,11/27/2019,134.3053077
2019 164.480 109,80,Yagi,12/4/2019,101.4393493
2019 164.480 109,81,Yagi,12/5/2019,31.85590354
2019 164.480 109,173,Yagi,12/9/2019,16.72525273
2019 164.480 109,47,Yagi,12/11/2019,190.8233561
2019 164.480 109,161,Yagi,12/16/2019,18.33448134
2019 164.480 109,167,Yagi,6/15/2020,18.64669248
2019 164.480 109,154,Yagi,6/18/2020,22.1018996
2019 164.480 109,200,Yagi,7/6/2020,0
2019 164.480 131,45,Yagi,12/17/2019,105.1340491
2019 164.480 131,44,Yagi,12/23/2019,126.271051
2019 164.480 131,58,Yagi,3/10/2020,159.4143365
2019 164.480 131,40,Yagi,6/4/2020,156.4057942
2019 164.480 131,44,Yagi,6/8/2020,156.6542293
2019 164.480 131,98,Yagi,6/12/2020,156.7664273
2019 164.480 131,40,Yagi,6/15/2020,159.5828057
2019 164.480 133,73,Yagi,11/18/2019,137.8690341
2019 164.480 133,90,Yagi,11/20/2019,142.0973495
2019 164.480 133,80,Yagi,11/21/2019,140.2486014
2019 164.480 133,84,Yagi,11/27/2019,142.756127
2019 164.480 133,84,Yagi,12/9/2019,145.2323666
2019 164.480 133,88,Yagi,12/10/2019,141.8714816
2019 164.480 133,65,Yagi,12/11/2019,151.7770512
2019 164.480 133,83,Yagi,12/16/2019,145.81246
2019 164.480 133,62,Yagi,12/17/2019,155.5594062
